Participant,Strategy,TOI,StageNumber,#Digits,#CarriesPlace,#CarriesPlace,InterimDuring_Avg,InterimAfter_Avg,InterimSum_Avg,InterimDuring_tot,InterimAfter_tot,InterimSum_tot,Average_duration_of_whole_fixations,Number_of_whole_fixations,Average_whole_fixation_pupil_diameter,Number_of_saccades,Average_peak_velocity_of_saccades,Average_amplitude_of_saccades,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,RelaAlpha,RelaBeta,RelaTheta,RelaDelta
MP2,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,,,,,,,6,2,8,2,8,5,-0.456189625,0.125847631,0.047094495,1.283247498
MP2,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,,,,,,,11,2,10,3,13,5,0.336781774,0.010390247,0.139082549,0.513745431
MP2,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,,,,,,,10,2,9,5,10,4,-0.334347369,0.103131581,0.242157419,0.989058369
MP2,2,7,3,2&2,1,1,2,3,5,6,12,18,,,,,,,8,2,9,1,8,5,0.577236222,-0.164944981,0.109755546,0.477953214
MP2,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,,,,,,10,2,10,2,10,4,0.796957662,-0.075296515,0.209460066,0.068878788
MP2,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,,,,,,10,3,7,4,9,6,0.663179804,-0.138308984,0.117204746,0.357924435
MP2,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,,,,,,,8,2,8,2,10,4,0.984104139,0.0764793,0.216037562,-0.276621
MP2,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,,,,,,,10,3,12,3,12,6,-0.01326419,0.063602321,0.075541741,0.874120128
MP2,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,,,,,,,12,2,11,2,12,6,1.342251289,-0.458837455,-0.33313142,0.449717586
MP2,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,,,,,,,12,3,12,3,10,4,-0.213212484,0.144401459,0.065832034,1.002978991
MP2,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,,,,,,,15,3,16,6,14,4,5.755139913,-1.359108838,-1.893812815,-1.502218261
MP20,2,1,1,2&1,0,0,0,2,2,0,2,2,200,1,3.44302,1,102.32,3.22,2,1,1,1,1,1,-0.128666374,-0.045802948,0.101353753,1.07311557
MP20,2,2,2,2&1,1,1,1,3,4,2,6,8,2229,2,3.32753,1,107.68,3.24,6,1,3,2,1,2,0.169239495,0.093955158,0.199309209,0.537496138
MP20,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,1431,5,3.23217,5,157.03,3.3,3,1,3,3,6,5,0.175140569,0.09241725,0.194833439,0.537608742
MP20,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,1428,7,3.19156,4,118.68,4.47,6,1,10,5,10,9,0.167746557,0.102314981,0.1201641,0.609774363
MP20,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,2873,7,3.27015,6,117.61,2.3,5,1,3,3,3,5,0.174044574,0.094579264,0.190959238,0.540416924
MP20,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,833,9,3.19197,12,154.98,9.78,10,1,10,3,7,7,0.357248639,0.139846438,0.246223599,0.256681324
MP20,2,7,3,2&2,1,1,2,3,5,6,12,18,1711,8,3.28891,8,127.39,2.64,17,1,5,5,10,18,0.306623853,0.134686483,0.333460989,0.225228675
MP20,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,1516,6,3.28164,6,120.18,1.95,16,1,14,6,16,12,0.670812442,0.312289727,0.023143626,-0.006245795
MP20,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,2562,6,3.29303,4,115.1,2.79,7,1,8,3,3,5,0.69966783,0.296747739,0.087781031,-0.084196599
MP20,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,3123,4,3.19428,1,102.36,0.5,10,1,8,6,6,5,0.256280766,0.102320164,0.119400447,0.521998623
MP20,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,1133,3,3.23771,2,112.92,3.06,7,1,3,3,4,2,0.173205534,0.095368763,0.216880233,0.51454547
MP20,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,746,9,3.29499,12,127.87,3.89,16,1,12,8,18,3,-0.07523664,-0.082127443,0.251046872,0.906317211
MP20,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,868,18,3.29258,19,126.77,3.49,20,1,5,4,20,21,0.210631033,0.096896416,0.18078652,0.511686031
MP20,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,842,9,3.21673,10,147.09,6.75,19,1,12,3,20,6,0.216292596,0.099859792,0.206445182,0.47740243
MP21,2,1,1,2&1,0,0,0,2,2,0,2,2,1479,3,3.88857,1,108.21,2.85,5,1,13,4,14,4,-0.038695147,0.050586516,-0.02382801,1.011936641
MP21,2,2,2,2&1,1,1,1,3,4,2,6,8,921,12,3.5469,9,128.62,4.05,8,1,15,5,4,6,0.029841373,0.030557954,0.280688638,0.658912035
MP21,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,711,26,3.46364,19,154.33,5.34,12,1,10,15,6,18,-0.019183515,0.022449955,0.819249093,0.177484467
MP21,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,544,27,3.59232,22,153.04,5.26,12,1,10,15,13,14,-0.089104582,0.043286097,0.175007938,0.870810547
MP21,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,365,32,3.59503,26,152.21,5.11,12,1,10,8,12,8,0.003472579,0.0194148,-0.027768708,1.004881329
MP21,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,441,21,3.58627,18,166.49,5.27,15,1,11,8,10,10,0.118608328,0.044174227,0.179275692,0.657941754
MP21,2,7,3,2&2,1,1,2,3,5,6,12,18,525,26,3.48368,21,138.76,3.19,14,1,10,10,14,12,0.021463213,0.023317555,0.583922523,0.371296709
MP21,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,515,24,3.60973,20,137.75,3.46,14,1,10,18,13,14,-0.03965341,0.058119659,0.151526607,0.830007144
MP21,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,821,15,3.61743,10,136.51,3.71,12,1,10,10,12,12,0.065226146,0.035874173,0.314916545,0.583983135
MP21,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,467,26,3.4524,27,138.31,4.19,10,1,10,5,13,8,-0.004878287,0.247922338,0.537025221,0.219930728
MP21,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,488,23,3.66104,15,211.3,8.66,16,1,16,18,10,15,0.065528379,0.141966285,0.178646585,0.613858751
MP21,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,626,30,3.58573,26,157.3,4.56,15,1,10,10,13,12,-0.072681389,0.18009145,0.541818035,0.350771904
MP21,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,504,46,3.53971,44,162.27,5.34,16,1,10,18,14,15,0.585656521,-0.091409457,-0.547834458,1.053587394
MP21,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,818,17,3.4961,12,150.25,3.99,15,1,10,18,12,18,-0.126173048,0.083525726,-0.106207988,1.14885531
MP22,2,1,1,2&1,0,0,0,2,2,0,2,2,3858,1,3.67895,2,109.46,0.81,4,1,6,1,7,1,2.296258933,0.051749301,-1.460330381,0.112322148
MP22,2,2,2,2&1,1,1,1,3,4,2,6,8,5037,4,3.58831,1,241.03,11.82,7,1,11,3,8,2,8.293674363,-0.770114089,-1.163938179,-5.359622095
MP22,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,1802,7,3.71804,7,156.77,4.61,9,1,11,3,10,2,0.514647182,0.014591277,0.122837864,0.347923678
MP22,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,4046,5,3.57497,5,127.66,2.76,10,1,8,2,13,2,0.924563022,-0.015842561,0.109944423,-0.018664885
MP22,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,1576,14,3.61376,15,124.49,3.07,15,1,12,5,13,4,0.369085238,0.034499562,0.138014987,0.458400213
MP22,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,1825,13,3.61259,12,198.67,9.43,12,1,11,7,9,5,0.409495413,0.007973912,0.128436774,0.454093901
MP22,2,7,3,2&2,1,1,2,3,5,6,12,18,2182,12,3.5885,12,115.54,2.6,11,1,9,3,13,2,0.378569319,0.037015445,0.139033249,0.445381987
MP22,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,1927,13,3.62084,13,127.95,3.83,9,1,10,5,9,3,0.497816842,0.030342659,0.137936159,0.333904341
MP22,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,2928,4,3.64928,3,150.33,4.76,17,1,13,15,13,14,0.402286311,0.018140346,0.137809712,0.441763631
MP22,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,1295,19,3.62571,19,125.51,3.19,12,1,15,12,13,17,0.489047556,-0.01069517,0.111031851,0.410615763
MP22,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,7149,3,3.61984,1,109.42,1.08,15,1,11,8,14,4,0.557764151,0.027044317,0.10011105,0.315080481
MP22,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,1012,16,3.60353,19,125.71,4.3,12,1,12,14,13,4,0.450428987,0.023182927,0.114053731,0.412334355
MP22,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,1047,26,3.68742,25,137.32,4.54,15,1,16,18,14,10,0.38721644,0.035703621,0.143796508,0.43328343
MP22,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,2289,8,3.61384,8,126.08,4.57,12,1,13,19,15,10,0.429090693,-0.021957316,0.09162918,0.501237443
MP23,2,1,1,2&1,0,0,0,2,2,0,2,2,857,8,3.7631,14,123.07,3.06,2,3,5,3,1,1,-0.243257642,0.11996236,0.231680464,0.891614818
MP23,2,2,2,2&1,1,1,1,3,4,2,6,8,906,3,3.65771,8,129.65,2.9,3,2,5,4,7,2,4.556920829,-0.416730871,-0.325999601,-2.814190356
MP23,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,751,14,3.5929,16,132.99,3.84,4,1,3,5,7,2,-0.820715024,0.035205287,0.363027492,1.422482245
MP23,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,807,14,3.56511,17,153.42,5.58,3,1,3,5,10,2,-0.578303978,0.108964486,0.075013068,1.394326424
MP23,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,514,26,3.55302,30,136.41,4.39,7,1,6,10,10,3,-0.357448331,0.053656646,0.195093096,1.108698589
MP23,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,661,17,3.62592,20,144.32,4.5,7,2,6,7,12,3,-0.052655764,0.061539592,0.168506997,0.822609174
MP23,2,7,3,2&2,1,1,2,3,5,6,12,18,800,15,3.69492,21,126.36,3.33,6,1,5,5,11,2,-0.19684472,0.03787276,0.102223315,1.056748645
MP23,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,543,37,3.61464,43,140.8,4.64,7,2,5,5,12,2,-0.097344011,0.066872095,0.207727109,0.822744807
MP23,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,894,7,3.69276,13,132.44,4.95,4,1,3,4,9,2,15.59868828,-0.625009673,-0.613314502,-13.36036411
MP23,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,690,24,3.4295,26,126.07,3.78,6,2,5,6,10,2,4.733470321,-0.396405841,-0.169656423,-3.167408057
MP23,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,640,7,3.63031,8,133.01,4.21,4,1,3,4,5,1,-0.329867744,0.133751136,0.21224616,0.983870448
MP23,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,645,21,3.65592,25,137.57,4.31,10,2,5,10,10,4,-0.066011278,0.04073328,0.162851696,0.862426302
MP23,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,650,20,3.71069,24,157.49,5.47,12,3,7,13,5,3,-0.2235243,0.093913596,0.127940998,1.001669706
MP23,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,290,6,3.46026,9,135.26,4.64,17,2,15,20,17,6,-1.365385272,0.052110097,0.503835861,1.809439313
MP24,2,1,1,2&1,0,0,0,2,2,0,2,2,1299,2,3.42202,0,,,5,1,7,5,5,6,-3.561652382,0.726644337,1.428571898,2.406436148
MP24,2,2,2,2&1,1,1,1,3,4,2,6,8,1075,9,3.5225,3,125.89,3.84,3,1,3,7,3,3,-0.250044495,0.143893669,0.504394775,0.601756052
MP24,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,805,24,3.60162,20,159.49,5.58,4,1,4,9,4,4,-0.379095351,0.045623543,0.147898463,1.185573345
MP24,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,711,27,3.5863,23,161.56,6.97,3,1,3,15,3,3,-0.084326474,0.098871337,0.499539578,0.485915559
MP24,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,930,23,3.52368,14,121.14,3.41,5,1,5,10,7,5,-0.315940574,0.101547248,0.36202226,0.852371066
MP24,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,731,21,3.61725,16,186.5,7.97,10,1,7,7,7,7,-2.857158102,0.409127386,0.569086066,2.87894465
MP24,2,7,3,2&2,1,1,2,3,5,6,12,18,939,17,3.44379,7,127.49,3.45,3,1,3,9,3,3,-0.928129934,0.168198766,0.436452736,1.323478431
MP24,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,1019,20,3.51272,13,131.21,3.49,6,1,7,10,7,6,-0.710167653,0.314259081,0.516221454,0.879687118
MP24,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,1279,1,3.4586,1,100.01,2.03,4,1,4,10,5,5,-0.384735304,0.117318502,0.341763242,0.925653561
MP24,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,1224,9,3.48341,5,120.15,3.39,7,1,7,7,7,7,-0.111510863,0.124929587,0.311330267,0.675251008
MP24,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,697,13,3.73957,7,175.09,9.84,3,1,4,10,3,3,-5.040674666,1.232198073,1.695616983,3.11285961
MP24,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,758,19,3.56675,13,120.11,3.92,10,1,7,10,10,7,-0.046502673,0.060054395,0.175375783,0.811072495
MP24,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,839,22,3.55698,13,133.29,4.37,5,1,5,18,7,7,-5.002130065,3.355601502,1.891236062,0.7552925
MP24,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,704,9,3.81262,4,166.24,5.9,10,1,7,21,15,7,-0.620676539,0.281395499,0.108877399,1.230403641
MP25,2,1,1,2&1,0,0,0,2,2,0,2,2,,,,,,,1,1,1,1,1,1,-0.138781185,0.00809208,0.132446096,0.998243009
MP25,2,2,2,2&1,1,1,1,3,4,2,6,8,,,,,,,1,1,1,2,1,3,-0.010334416,0.021818926,0.154994223,0.833521267
MP25,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,,,,,,,5,1,4,2,3,2,0.067855021,0.039500011,0.275540308,0.617104659
MP25,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,,,,,,,5,5,8,3,3,2,-0.497649307,0.038161743,0.214197177,1.245290387
MP25,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,,,,,,,6,1,5,3,2,2,-0.201857523,0.002882896,0.352853764,0.846120864
MP25,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,,,,,,,10,10,7,8,15,10,-0.467756845,-0.010965974,0.093814926,1.384907892
MP25,2,7,3,2&2,1,1,2,3,5,6,12,18,,,,,,,15,3,8,3,10,5,-0.032140117,0.053124548,0.304700051,0.674315517
MP25,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,,,,,,8,3,5,3,4,3,-0.244498757,0.02111904,0.26982283,0.953556887
MP25,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,,,,,,18,15,18,10,21,18,1.364912866,0.060106097,0.105925182,-0.530944146
MP25,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,,,,,,,5,6,4,3,4,5,-0.031054879,0.033226669,0.146341035,0.851487175
MP25,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,,,,,,,8,5,5,3,5,5,-0.012557868,0.047555373,0.171115577,0.793886917
MP25,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,,,,,,,20,15,21,17,20,18,-0.053418443,0.019042882,0.203297331,0.83107823
MP25,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,,,,,,,21,10,21,21,21,20,-0.014677583,0.060488458,0.197157777,0.757031348
MP25,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,,,,,,,21,16,21,21,21,21,-0.134587639,0.045862147,0.543185722,0.54553977
MP26,2,1,1,2&1,0,0,0,2,2,0,2,2,,,,,,,3,1,2,5,3,2,0.782599963,-0.015311135,0.140208066,0.092503106
MP26,2,2,2,2&1,1,1,1,3,4,2,6,8,,,,,,,13,2,13,11,16,13,0.556600604,0.013567529,0.096841981,0.332989886
MP26,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,,,,,,,4,1,6,3,4,1,0.709202521,-0.00815057,0.032289402,0.266658647
MP26,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,,,,,,,12,3,13,16,12,7,0.428988818,0.013526975,0.090845514,0.466638693
MP26,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,,,,,,,7,3,6,8,10,3,1.15975752,0.014175932,0.037480609,-0.211414061
MP26,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,,,,,,,7,2,8,10,13,4,0.466397567,0.01700129,0.058194865,0.458406277
MP26,2,7,3,2&2,1,1,2,3,5,6,12,18,,,,,,,8,1,6,10,13,12,0.496161516,0.010534925,0.072349498,0.420954061
MP26,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,,,,,,13,2,16,15,13,16,-0.705843691,0.036700308,0.092124724,1.577018659
MP26,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,,,,,,10,5,7,12,15,8,0.412442304,0.00778668,0.100461273,0.479309744
MP26,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,,,,,,,16,4,15,15,12,10,-2.353805097,0.269573538,1.276922745,1.807308814
MP26,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,,,,,,,10,2,11,13,12,15,-0.119734738,0.029210352,0.157996028,0.932528359
MP26,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,,,,,,,15,3,16,18,12,13,0.432551213,0.012236761,0.055715427,0.499496599
MP26,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,,,,,,,14,3,12,10,15,16,0.864187442,0.005892178,-0.074304004,0.204224383
MP26,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,,,,,,,20,1,21,21,20,21,0.883757855,-0.013728287,0.030875894,0.099094538
MP3,2,1,1,2&1,0,0,0,2,2,0,2,2,200,10,2.8435,9,160.64,4.67,3,2,3,3,2,1,6.985565515,0.212068284,0.211985895,-6.409619694
MP3,2,2,2,2&1,1,1,1,3,4,2,6,8,166,13,3.3978,9,268.87,7.71,7,2,7,3,7,4,-0.249534309,0.153242999,0.160076996,0.936214314
MP3,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,247,15,3.35443,12,231.92,7.17,12,2,11,9,10,8,-0.255376157,0.105581689,0.197705922,0.952088545
MP3,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,193,9,2.76294,4,191.45,4.83,7,2,6,4,7,5,-0.542646331,0.155318669,0.090268585,1.297059077
MP3,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,227,3,3.23702,3,360.78,8.47,8,2,8,7,7,5,3.219306067,0.277883311,-0.377305679,-2.119883698
MP3,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,248,10,3.38685,8,229.64,7.61,13,2,11,6,10,8,-0.940267075,-0.076616272,0.299952938,1.716930408
MP3,2,7,3,2&2,1,1,2,3,5,6,12,18,242,18,2.92976,12,193.52,5.29,18,2,18,7,16,12,0.587990386,0.066863126,0.082323969,0.262822519
MP3,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,0,,2,251.45,7.23,12,2,12,8,6,6,-0.998790343,0.185833571,0.555842476,1.257114296
MP3,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,326,3,2.90037,3,288.91,8.8,12,2,14,10,10,11,-0.511086007,0.20034502,0.236465005,1.074275982
MP3,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,160,11,3.0194,6,270.14,8.14,15,2,15,7,10,10,-0.046503544,0.069598574,0.169688212,0.807216758
MP3,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,350,6,3.39148,3,270.9,12.78,12,2,12,4,10,3,1.216607841,0.071494266,-0.126289504,-0.161812603
MP3,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,100,1,2.99251,1,577.06,19.33,10,2,10,7,7,6,-0.692766472,0.066410649,0.412561741,1.213794083
MP3,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,127,3,3.147,2,175.31,6.83,18,2,17,10,15,12,2.263039269,-0.544449383,0.133043395,-0.851633281
MP3,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,180,3,3.06816,4,292.94,5.79,19,2,14,13,18,15,-0.132112864,0.124899849,0.155285962,0.851927053
MP4,2,1,1,2&1,0,0,0,2,2,0,2,2,,,,,,,2,1,1,1,2,1,1.351510267,0.397906981,1.769221332,-2.51863858
MP4,2,2,2,2&1,1,1,1,3,4,2,6,8,,,,,,,5,1,2,2,2,1,0.312162011,0.10028827,0.387835054,0.199714665
MP4,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,175,1089,3.56867,501,206.42,5.19,7,1,5,15,7,12,0.461086466,0.125879735,0.522004954,-0.108971156
MP4,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,,,,,,,7,1,7,5,10,10,-0.465385794,-0.138487472,-0.826331316,2.430204582
MP4,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,,,,,,,10,1,7,13,13,10,-0.05065484,-0.012678584,-0.038354898,1.101688321
MP4,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,,,,,,,10,1,1,5,5,2,-0.05838857,0.001125215,0.016403139,1.040860216
MP4,2,7,3,2&2,1,1,2,3,5,6,12,18,80,1,3.1808,2,129.11,2.6,7,1,7,5,5,3,-0.095172582,-0.053058504,-0.310943357,1.459174444
MP4,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,80,1,2.9344,1,217.64,3.17,7,1,7,5,5,3,0.268904069,0.079742505,0.321362786,0.32999064
MP4,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,120,1,3.39002,0,,,5,1,10,7,5,2,-0.174873297,-0.039480614,-0.315317058,1.529670969
MP4,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,,,,,,,5,1,5,5,2,2,0.274134597,0.064793961,0.354658741,0.306412701
MP4,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,80,1,3.40728,0,,,5,1,10,7,5,2,-0.229624112,-0.039008124,-0.060222989,1.328855225
MP4,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,,,,,,,13,1,10,13,13,10,0.411245823,0.128906611,0.66323354,-0.203385975
MP4,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,170,16,2.95309,5,186.12,7.44,17,1,17,15,15,10,0.186380821,0.061414578,0.276526198,0.475678404
MP4,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,,,,,,,17,1,17,15,17,17,-0.085599094,0.00901831,0.146233474,0.930347311
MP5,2,1,1,2&1,0,0,0,2,2,0,2,2,,,,,,,5,2,16,1,16,1,0.322725171,0.035710783,0.212524692,0.429039353
MP5,2,2,2,2&1,1,1,1,3,4,2,6,8,,,,,,,7,2,15,6,14,6,-0.669385209,0.195333028,-0.307835808,1.781887989
MP5,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,,,,,,,6,2,11,3,12,2,-0.340970365,0.067860207,-0.010480744,1.283590902
MP5,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,,,,,,,9,2,11,5,11,4,-0.481193737,0.041434498,-0.120917073,1.560676312
MP5,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,,,,,,,16,2,14,10,18,10,0.439904257,0.027782527,0.243410929,0.288902286
MP5,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,,,,,,,8,2,13,3,14,2,0.505903607,0.017277612,0.319693436,0.157125344
MP5,2,7,3,2&2,1,1,2,3,5,6,12,18,,,,,,,10,2,12,8,14,5,0.527571514,-0.00342827,0.310044561,0.165812195
MP5,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,,,,,,14,2,8,6,15,4,-0.550803853,0.025448514,0.020786227,1.504569112
MP5,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,,,,,,18,2,15,13,19,12,2.145302737,0.122134064,0.661866175,-1.929302976
MP5,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,,,,,,,10,2,8,8,18,7,-0.709847724,-0.003519075,-0.158325415,1.871692214
MP5,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,,,,,,,15,2,18,14,16,12,0.795019642,0.027464468,0.338214219,-0.160698329
MP5,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,,,,,,,15,2,17,12,17,10,0.927590645,0.026313901,0.298707441,-0.252611988
MP5,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,,,,,,,19,2,17,15,18,6,14.99226979,-1.802498402,3.528684216,-15.71845561
MP5,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,,,,,,,20,2,12,18,16,15,0.65544167,-0.001479478,0.248169479,0.097868328
MP6,2,1,1,2&1,0,0,0,2,2,0,2,2,317,40,3.54554,37,146.68,5.57,5,1,5,1,5,5,0.108756067,0.070365813,0.199227875,0.621650245
MP6,2,2,2,2&1,1,1,1,3,4,2,6,8,338,35,3.66029,25,144.49,6.34,12,1,5,5,12,12,0.075965373,0.027926325,0.143786526,0.752321776
MP6,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,327,42,3.50674,32,187.68,7.49,11,1,12,5,12,11,0.053063726,0.017085533,0.138240212,0.791610529
MP6,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,333,35,3.55676,18,160.95,6.11,11,1,10,2,11,11,0.056555988,0.020376463,0.116931028,0.80613652
MP6,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,297,50,3.5236,45,210.33,9.54,12,1,10,3,12,12,0.042637583,0.026889709,0.069318516,0.861154192
