Participant,Strategy,TOI,StageNumber,#Digits,#CarriesPlace,#CarriesPlace,InterimDuring_Avg,InterimAfter_Avg,InterimSum_Avg,InterimDuring_tot,InterimAfter_tot,InterimSum_tot,Average_duration_of_whole_fixations,Number_of_whole_fixations,Average_whole_fixation_pupil_diameter,Number_of_saccades,Average_peak_velocity_of_saccades,Average_amplitude_of_saccades,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,RelaAlpha,RelaBeta,RelaTheta,RelaDelta
MP12,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,180,26,3.07812,12,190.38,4.86,21,1,20,2,21,1,0.162211208,0.022216582,0.175967391,0.639604819
MP12,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,180,20,3.00421,12,151,4.05,21,1,20,3,21,1,0.167806689,0.102630337,0.237263632,0.492299342
MP12,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,146,10,3.19695,1,132.3,3.6,21,1,20,3,20,2,0.158961721,0.045685167,0.205251198,0.590101914
MP12,2,7,3,2&2,1,1,2,3,5,6,12,18,181,22,3.10632,11,159.76,3.8,21,1,20,2,21,1,0.13875384,0.077326521,0.181794785,0.602124853
MP12,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,160,4,3.18238,2,117.08,1.63,21,1,21,15,21,2,0.134819857,0.081723394,0.166258232,0.617198517
MP12,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,190,6,3.18041,2,189.05,3.48,21,1,20,21,20,2,0.132639079,-0.00220117,0.172720351,0.69684174
MP12,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,142,12,2.96929,3,168.21,3.31,21,1,20,20,21,1,0.146946273,0.080242775,0.206219537,0.566591415
MP12,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,127,18,3.20667,11,224.22,5.33,21,1,20,15,20,1,0.106492846,0.03090515,0.196538574,0.66606343
MP12,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,165,12,3.34853,4,238.91,5.93,21,1,21,3,21,2,0.181811529,0.10476333,0.18802681,0.52539833
MP12,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,228,20,2.98597,9,185.86,5.26,21,1,20,15,21,2,0.13893778,0.077207559,0.197786244,0.586068416
MP12,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,265,35,3.01041,22,172.16,3.99,21,1,21,21,21,1,0.141330321,-0.046887177,0.212774468,0.692782387
