Participant,TOI,Count,Correct_Number,Correct_Percentage,Sign_Error
MP5,13,3,2,66.66666667,0
MP6,1,11,10,90.90909091,0
MP6,2,4,4,100,0
MP6,5,3,3,100,0
MP6,7,4,4,100,0
MP6,8,4,3,75,0
MP6,9,4,3,75,0
MP6,10,5,5,100,0
MP6,12,2,2,100,0
MP6,13,3,3,100,0
MP7,1,20,20,100,0
MP7,2,10,8,80,0
MP7,5,5,4,80,1
MP7,7,4,3,75,0
MP7,8,5,5,100,0
MP7,9,3,3,100,0
MP7,10,4,4,100,0
MP7,12,2,1,50,0
MP7,13,2,1,50,0
MP8,1,17,14,82.35294118,0
MP8,2,13,13,100,0
MP8,5,3,3,100,0
MP8,7,6,6,100,0
MP8,8,4,2,50,1
MP8,9,4,2,50,1
MP8,10,4,3,75,0
MP8,12,2,2,100,0
MP8,13,4,3,75,0
MP9,1,13,12,92.30769231,0
MP9,2,10,10,100,0
MP9,5,3,2,66.66666667,0
MP9,7,3,2,66.66666667,1
MP9,8,4,2,50,0
MP9,9,1,0,0,0
MP9,10,4,4,100,0
MP9,12,2,1,50,0
MP9,13,2,0,0,0
,,,,,
